Date : 2023-01-17 17:05:12
Directory : /Users/xusun/Desktop/Flutter/offershow/lib
Total : 79 files,  2367 codes, 70 comments, 123 blanks, all 2560 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/start/start.dart                         | Dart     |          8 |          1 |          1 |         10 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/topic/At_someone.dart                    | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/topic/Your_emoji.dart                    | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/topic/detail_cont.dart                   | Dart     |          3 |          0 |          0 |          3 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_RichInput.dart               | Dart     |         21 |         14 |          0 |         35 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_comment.dart                 | Dart     |        -10 |          0 |         -1 |        -11 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_comment_tab.dart             | Dart     |         -3 |          3 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_detail.dart                  | Dart     |         35 |         15 |          2 |         52 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_detailBottom.dart            | Dart     |          3 |          0 |          0 |          3 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_detail_time.dart             | Dart     |          4 |          0 |          0 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_edit.dart                    | Dart     |         -2 |          1 |          0 |         -1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_more.dart                    | Dart     |        -27 |          0 |          0 |        -27 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/user_list/user_list.dart                 | Dart     |          4 |          1 |          0 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/waterTask/task_list.dart                 | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/waterTask/water_inout_detail.dart        | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/waterTask/water_task.dart                | Dart     |         16 |          5 |          0 |         21 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/water_total/water_total.dart             | Dart     |          5 |          0 |          0 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/router/router.dart                            | Dart     |          4 |          0 |          0 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/util/interface.dart                           | Dart     |          2 |          0 |          0 |          2 |
| /Users/xusun/Desktop/Flutter/offershow/lib/util/provider.dart                            | Dart     |         11 |          0 |          3 |         14 |
| Total                                                                                    |          |      2,367 |         70 |        123 |      2,560 |
+------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
