"filename", "language", "C++", "CMake", "YAML", "Markdown", "Dart", "Groovy", "Properties", "XML", "Swift", "JSON", "Kotlin", "HTML", "Shell Script", "comment", "blank", "total"
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/5.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/6.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/7.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/8.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/9.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/xusun/Desktop/Flutter/offershow/lib/img/like_blue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/like_grey.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/loading.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/login.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 1, 121
"/Users/xusun/Desktop/Flutter/offershow/lib/img/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 24
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn5.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me_arrow_right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn5.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
